from_cinema,to_cinema,distance_km,duration_min_freeflow_osrm,coord_quality_note
CGV影城（松江印象城杜比ULTRA 4DX店）,和平影都,34.59,31.1,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,嘉定影剧院,50.71,39.1,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,国泰电影院,33.58,29.6,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,天山电影院-宛平剧院影城,30.98,27.5,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,天山电影院-虹桥艺术中心旗舰店,27.29,26.5,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,寰映影城（大融城店）,36.91,34.5,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,星轶STARX影剧院（上海宝山日月光店）,44.5,36.0,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,曹杨影城,31.37,30.0,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,朵云轩杜比全景声影城,29.49,25.4,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,沪东工人文化宫东宫影剧院,42.1,39.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（松江印象城杜比ULTRA 4DX店）,黄浦剧场,35.64,32.9,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,39.07,35.9,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,CGV影城（青浦天空万科广场IMAX店）,25.76,24.4,"from:osm_nearby_mall;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,CMG融媒影城,13.96,16.7,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,MOViE MOViE影城（前滩太古里店）,15.11,15.4,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC上影影城（丁香路LUXE店）,7.61,9.4,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC上影影城（国华广场店）,7.34,9.1,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC上影影城（港汇永华IMAX激光店）,12.85,13.4,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC上影百联影城（八佰伴IMAX店）,5.04,6.5,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC动漫主题影院（美罗城店）,13.26,15.0,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,SFC永华电影荟（世纪汇店）,5.13,6.3,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,UME影城（上海新天地店）,6.55,9.6,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,万达影城（五角场万达广场激光IMAX店）,6.76,7.9,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,万达影城（崇明万达广场店）,90.23,81.6,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,万达影城（金山万达广场店）,78.59,59.6,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海大光明电影院,5.24,7.0,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海市沪北电影院,5.79,8.5,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海影城SHO,11.95,12.7,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（万象城店）,17.21,16.9,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（环贸iapm店）,8.33,10.3,"from:osm_nearby_mall;to:osm_exact;OSRM free-flow driving, not live traffic"
CGV影城（白玉兰广场IMAX店）,上海百丽宫影城（长宁来福士店）,11.57,13.2,"from:osm_nearby_mall;to:approx_from_address;OSRM free-flow driving, not live traffic"
