from_cinema,to_cinema,distance_km,duration_min_freeflow_osrm,coord_quality_note
SFC上影百联影城（八佰伴IMAX店）,UME影城（上海新天地店）,5.98,8.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,万达影城（五角场万达广场激光IMAX店）,10.31,12.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,万达影城（崇明万达广场店）,89.8,79.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,万达影城（金山万达广场店）,70.6,59.9,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海大光明电影院,5.84,8.7,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海市沪北电影院,8.31,11.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海影城SHO,9.93,13.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海百丽宫影城（万象城店）,18.83,17.9,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海百丽宫影城（环贸iapm店）,6.9,10.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海百丽宫影城（长宁来福士店）,13.19,14.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海百丽宫影城（陆家嘴中心店）,0.49,1.7,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海百美汇影城（静安嘉里中心店）,10.84,11.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海科技影城,6.2,9.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海美琪大戏院,9.72,10.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,上海艺海剧院,10.39,11.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,世纪友谊影城（LUXE南方商城店）,20.72,20.7,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,临港演艺中心,67.63,54.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,久事·上海商城剧院,10.64,11.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,九棵树未来艺术中心,39.98,38.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,佰映三克映画,10.77,12.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,兰心大戏院,8.85,10.1,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,博悦汇影城(BFC外滩金融中心店),1.79,3.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,和平影都,5.31,7.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,嘉定影剧院,36.84,32.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,国泰电影院,6.5,9.7,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,天山电影院-宛平剧院影城,12.55,13.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,天山电影院-虹桥艺术中心旗舰店,14.53,14.1,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,寰映影城（大融城店）,13.29,15.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,星轶STARX影剧院（上海宝山日月光店）,18.17,18.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,曹杨影城,15.32,16.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,朵云轩杜比全景声影城,13.46,14.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,沪东工人文化宫东宫影剧院,7.11,9.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC上影百联影城（八佰伴IMAX店）,黄浦剧场,6.36,9.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,CGV影城（松江印象城杜比ULTRA 4DX店）,30.24,26.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,CGV影城（白玉兰广场IMAX店）,12.2,13.1,"from:osm_exact;to:osm_nearby_mall;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,CGV影城（青浦天空万科广场IMAX店）,19.02,18.1,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,CMG融媒影城,5.01,8.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,MOViE MOViE影城（前滩太古里店）,11.12,12.1,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,SFC上影影城（丁香路LUXE店）,16.0,16.5,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,SFC上影影城（国华广场店）,19.65,19.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,SFC上影影城（港汇永华IMAX激光店）,0.52,1.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,SFC上影百联影城（八佰伴IMAX店）,12.26,12.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,SFC永华电影荟（世纪汇店）,13.52,13.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,UME影城（上海新天地店）,5.65,8.2,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,万达影城（五角场万达广场激光IMAX店）,19.08,18.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,万达影城（崇明万达广场店）,101.48,90.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,万达影城（金山万达广场店）,63.86,50.5,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海大光明电影院,7.25,8.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海市沪北电影院,11.65,12.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海影城SHO,1.52,2.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海百丽宫影城（万象城店）,7.94,9.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海百丽宫影城（环贸iapm店）,4.16,5.7,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海百丽宫影城（长宁来福士店）,4.49,6.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海百丽宫影城（陆家嘴中心店）,12.24,12.4,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海百美汇影城（静安嘉里中心店）,4.88,6.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海科技影城,4.92,6.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海美琪大戏院,5.67,6.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,上海艺海剧院,6.34,7.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,世纪友谊影城（LUXE南方商城店）,9.08,10.7,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,临港演艺中心,76.19,61.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,久事·上海商城剧院,4.67,5.8,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,九棵树未来艺术中心,35.44,33.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,佰映三克映画,6.72,8.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,兰心大戏院,4.57,6.4,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,博悦汇影城(BFC外滩金融中心店),11.33,12.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,和平影都,8.01,8.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,嘉定影剧院,32.31,28.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,国泰电影院,4.23,5.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,天山电影院-宛平剧院影城,2.62,5.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,天山电影院-虹桥艺术中心旗舰店,4.92,6.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,寰映影城（大融城店）,11.63,12.7,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,星轶STARX影剧院（上海宝山日月光店）,14.49,15.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,曹杨影城,7.62,9.2,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,朵云轩杜比全景声影城,2.62,5.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,沪东工人文化宫东宫影剧院,15.53,16.8,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC动漫主题影院（美罗城店）,黄浦剧场,9.07,10.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,CGV影城（松江印象城杜比ULTRA 4DX店）,40.55,36.4,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,CGV影城（白玉兰广场IMAX店）,5.33,7.0,"from:approx_from_address;to:osm_nearby_mall;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,CGV影城（青浦天空万科广场IMAX店）,28.23,25.6,"from:approx_from_address;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,CMG融媒影城,13.36,16.4,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,MOViE MOViE影城（前滩太古里店）,12.09,14.0,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,SFC上影影城（丁香路LUXE店）,4.25,5.8,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,SFC上影影城（国华广场店）,10.74,12.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,SFC上影影城（港汇永华IMAX激光店）,11.38,13.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,SFC上影百联影城（八佰伴IMAX店）,1.68,2.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,SFC动漫主题影院（美罗城店）,11.37,14.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,UME影城（上海新天地店）,6.38,8.9,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,万达影城（五角场万达广场激光IMAX店）,10.16,11.4,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,万达影城（崇明万达广场店）,89.73,79.5,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,万达影城（金山万达广场店）,80.07,60.1,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海大光明电影院,7.58,8.2,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海市沪北电影院,9.16,11.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海影城SHO,10.33,13.0,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海百丽宫影城（万象城店）,18.68,17.4,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海百丽宫影城（环贸iapm店）,9.45,10.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海百丽宫影城（长宁来福士店）,13.05,13.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海百丽宫影城（陆家嘴中心店）,1.78,2.9,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海百美汇影城（静安嘉里中心店）,10.7,10.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海科技影城,8.75,10.1,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海美琪大戏院,9.58,10.4,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,上海艺海剧院,10.25,11.0,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,世纪友谊影城（LUXE南方商城店）,20.89,21.6,"from:approx_from_address;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,临港演艺中心,67.56,54.1,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,久事·上海商城剧院,10.5,10.6,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,九棵树未来艺术中心,41.29,39.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,佰映三克映画,10.63,11.5,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,兰心大戏院,8.71,9.6,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,博悦汇影城(BFC外滩金融中心店),3.65,5.1,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,和平影都,7.04,7.4,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,嘉定影剧院,37.2,31.9,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,国泰电影院,9.05,10.0,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,天山电影院-宛平剧院影城,12.73,14.1,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,天山电影院-虹桥艺术中心旗舰店,14.39,13.5,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,寰映影城（大融城店）,14.35,15.8,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,星轶STARX影剧院（上海宝山日月光店）,17.39,18.3,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,曹杨影城,16.18,16.5,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,朵云轩杜比全景声影城,13.63,14.9,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,沪东工人文化宫东宫影剧院,6.91,8.7,"from:approx_from_address;to:approx_from_address;OSRM free-flow driving, not live traffic"
SFC永华电影荟（世纪汇店）,黄浦剧场,8.09,9.2,"from:approx_from_address;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,CGV影城（松江印象城杜比ULTRA 4DX店）,36.03,31.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,CGV影城（白玉兰广场IMAX店）,7.13,10.3,"from:osm_exact;to:osm_nearby_mall;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,CGV影城（青浦天空万科广场IMAX店）,22.19,21.7,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,CMG融媒影城,7.85,10.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,MOViE MOViE影城（前滩太古里店）,9.0,9.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC上影影城（丁香路LUXE店）,10.9,12.9,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC上影影城（国华广场店）,14.08,15.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC上影影城（港汇永华IMAX激光店）,5.82,7.4,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC上影百联影城（八佰伴IMAX店）,7.17,8.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC动漫主题影院（美罗城店）,5.81,8.4,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,SFC永华电影荟（世纪汇店）,8.43,9.8,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,万达影城（五角场万达广场激光IMAX店）,13.51,14.4,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,万达影城（崇明万达广场店）,96.39,86.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,万达影城（金山万达广场店）,69.65,55.8,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海大光明电影院,2.93,4.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海市沪北电影院,6.67,8.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海影城SHO,4.99,6.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海百丽宫影城（万象城店）,12.64,13.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海百丽宫影城（环贸iapm店）,2.77,4.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海百丽宫影城（长宁来福士店）,7.01,9.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海百丽宫影城（陆家嘴中心店）,7.14,8.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海百美汇影城（静安嘉里中心店）,4.14,6.2,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海科技影城,2.17,3.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海美琪大戏院,3.55,5.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,上海艺海剧院,4.22,6.2,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,世纪友谊影城（LUXE南方商城店）,14.87,16.0,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,临港演艺中心,74.08,58.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,久事·上海商城剧院,4.46,6.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,九棵树未来艺术中心,38.2,35.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,佰映三克映画,4.6,6.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,兰心大戏院,2.71,4.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,博悦汇影城(BFC外滩金融中心店),6.24,8.4,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,和平影都,2.31,4.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,嘉定影剧院,33.99,28.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,国泰电影院,2.37,3.8,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,天山电影院-宛平剧院影城,6.71,8.5,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,天山电影院-虹桥艺术中心旗舰店,8.35,9.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,寰映影城（大融城店）,10.15,12.1,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,星轶STARX影剧院（上海宝山日月光店）,13.97,14.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,曹杨影城,10.14,12.5,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,朵云轩杜比全景声影城,7.61,9.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,沪东工人文化宫东宫影剧院,13.58,14.0,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
UME影城（上海新天地店）,黄浦剧场,3.93,6.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,44.57,40.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,CGV影城（白玉兰广场IMAX店）,7.72,9.2,"from:osm_exact;to:osm_nearby_mall;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,CGV影城（青浦天空万科广场IMAX店）,29.52,24.4,"from:osm_exact;to:osm_nearby_cinema;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,CMG融媒影城,19.59,19.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,MOViE MOViE影城（前滩太古里店）,20.75,18.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（丁香路LUXE店）,13.12,13.5,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（国华广场店）,1.09,2.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（港汇永华IMAX激光店）,17.56,16.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC上影百联影城（八佰伴IMAX店）,10.44,12.6,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC动漫主题影院（美罗城店）,17.55,17.9,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,SFC永华电影荟（世纪汇店）,10.53,12.3,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,UME影城（上海新天地店）,12.69,13.3,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,万达影城（崇明万达广场店）,84.94,76.1,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,万达影城（金山万达广场店）,84.09,63.8,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海大光明电影院,10.42,11.2,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海市沪北电影院,7.09,7.7,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海影城SHO,17.44,16.9,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（万象城店）,22.71,21.2,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（环贸iapm店）,13.57,14.0,"from:osm_exact;to:osm_exact;OSRM free-flow driving, not live traffic"
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（长宁来福士店）,15.82,16.6,"from:osm_exact;to:approx_from_address;OSRM free-flow driving, not live traffic"
